file,subject,session,begin_time,end_time,low_freq,high_freq,duration,delta_duration,max_freq,pfc_avg_slope,avg_entropy,agg_entropy,snr,ioi,ioi_2,delta_voice_freq,delta_voice_inflexion,delta_voice_entropy,delta_time_1,delta_time_2,delta_time_3,delta_time_4,max_freq_1,max_freq_2,max_freq_3,max_freq_4,pfc_avg_slope_1,pfc_avg_slope_2,pfc_avg_slope_3,pfc_avg_slope_4,avg_entropy_1,avg_entropy_2,avg_entropy_3,avg_entropy_4,pc_duration,pc_voice_freq,pc_voice_inflexion,pc_voice_entropy
Riet MZ04,Riet,1,909.7775,910.8013,12.766,1410.638,1.0238,-0.5119,600.586,0.595,7.701,8.203,21.55,6.631200000000035,-0.5119,-41.01599999999996,0.31,0.09899999999999931,1.2403,1.1271,1.3978,NA,553.711,87.891,82.031,NA,0.433,0.05,0.046,NA,7.419,6.545,7.051,NA,-33.33333333333333,-6.392748152281315,108.77192982456141,1.3022888713496357
Riet MZ04,Riet,1,918.2379,919.4782,6.383,1455.319,1.2403,0.21649999999999991,553.711,0.433,7.419,7.946,21.78,8.460399999999936,0.21649999999999991,-46.875,-0.16199999999999998,-0.28200000000000003,1.1271,1.3978,NA,NA,87.891,82.031,NA,NA,0.05,0.046,NA,NA,6.545,7.051,NA,NA,21.146708341472934,-7.80487723656562,-27.22689075630252,-3.6618620958317103
Riet MZ04,Riet,1,945.1105,946.2376,12.766,1500,1.1271,-0.11319999999999997,87.891,0.05,6.545,6.491,18.62,26.872600000000034,-0.11319999999999997,-465.82,-0.383,-0.8739999999999997,1.3978,NA,NA,NA,82.031,NA,NA,NA,0.046,NA,NA,NA,7.051,NA,NA,NA,-9.12682415544626,-84.126918193787,-88.4526558891455,-11.780563418250434
Riet MZ04,Riet,1,948.258,949.6558,19.149,1480.851,1.3978,0.27069999999999994,82.031,0.046,7.051,7.269,19.92,3.1475000000000364,0.27069999999999994,-5.859999999999999,-0.0040000000000000036,0.5060000000000002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.017389761334393,-6.667349330420634,-8.000000000000007,7.731092436974793
Riet MZ06,Riet,2,43.9493,44.2011,25.424,1276.388,0.2518,NA,114.258,2.549,7.231,7.631,16.27,NA,NA,NA,NA,NA,0.9146,0.7917,0.7545,1.0899,131.836,143.555,196.289,143.555,0.046,-0.623,-0.012,-0.053,7.261,7.102,7.591,6.635,NA,NA,NA,NA
Riet MZ06,Riet,2,56.4066,57.3212,6.881,1334.862,0.9146,0.6628,131.836,0.046,7.261,7.733,17.6,12.457299999999996,0.6628,17.578000000000017,-2.503,0.03000000000000025,0.7917,0.7545,1.0899,0.9751,143.555,196.289,143.555,682.617,-0.623,-0.012,-0.053,0.566,7.102,7.591,6.635,7.501,263.2247815726767,15.384480736578634,-98.19537073362103,0.4148803761582112
Riet MZ06,Riet,2,65.0225,65.8143,27.523,1293.578,0.7917,-0.12290000000000001,143.555,-0.623,7.102,7.203,18.71,8.615899999999996,-0.12290000000000001,11.718999999999994,-0.669,-0.1589999999999998,0.7545,1.0899,0.9751,1.0476,196.289,143.555,682.617,166.992,-0.012,-0.053,0.566,0,7.591,6.635,7.501,7.304,-13.437568335884542,8.889074304438843,-1454.3478260869567,-2.1897810218978075
Riet MZ06,Riet,2,72.4718,73.2262,20.642,1403.67,0.7545,-0.03720000000000001,196.289,-0.012,7.591,8.162,18.48,7.449300000000008,-0.03720000000000001,52.73399999999998,0.611,0.4889999999999999,1.0899,0.9751,1.0476,0.6709,143.555,682.617,166.992,120.117,-0.053,0.566,0,0.036,6.635,7.501,7.304,7.248,-4.698749526335734,36.73435268712339,-98.07383627608347,6.885384398760911
Riet MZ06,Riet,2,82.5784,83.6683,27.523,1389.908,1.0899,0.33540000000000014,143.555,-0.053,6.635,6.781,20.86,10.1066,0.33540000000000014,-52.73399999999998,-0.040999999999999995,-0.9560000000000004,0.9751,1.0476,0.6709,0.5359,682.617,166.992,120.117,653.32,0.566,0,0.036,0.126,7.501,7.304,7.248,7.577,44.45328031809147,-26.865489151200517,341.66666666666663,-12.59386115136346
Riet MZ06,Riet,2,89.9038,90.8788,20.642,1376.147,0.9751,-0.11480000000000012,682.617,0.566,7.501,7.818,19.46,7.325400000000002,-0.11480000000000012,539.0619999999999,0.619,0.8660000000000005,1.0476,0.6709,0.5359,0.4754,166.992,120.117,653.32,697.266,0,0.036,0.126,1.232,7.304,7.248,7.577,7.67,-10.533076429030197,375.50903834767155,-1167.9245283018868,13.051996985681999
